VID,make,model,year,cityMPG,highwayMPG,cylinders,displ,co2TailpipeGpm,drive,fuelType,transmission,VClass
71,Chevrolet,Cavalier Convertible,1985,18,24,6,2.8,444.35,Front-Wheel Drive,Regular,Automatic 3-spd,Subcompact Cars
72,Chevrolet,Cavalier Convertible,1985,16,22,6,2.8,493.7222222,Front-Wheel Drive,Regular,Manual 4-spd,Subcompact Cars
73,Chevrolet,Chevette,1985,23,30,4,1.6,341.8076923,Rear-Wheel Drive,Regular,Automatic 3-spd,Subcompact Cars
74,Chevrolet,Chevette,1985,24,31,4,1.6,329.1481481,Rear-Wheel Drive,Regular,Manual 4-spd,Subcompact Cars
75,Chevrolet,Chevette,1985,24,33,4,1.6,329.1481481,Rear-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
76,Chevrolet,Chevette,1985,33,41,4,1.8,282.7777778,Rear-Wheel Drive,Diesel,Manual 5-spd,Subcompact Cars
77,Chevrolet,Spectrum,1985,28,32,4,1.5,296.2333333,Front-Wheel Drive,Regular,Automatic 3-spd,Subcompact Cars
78,Chevrolet,Spectrum,1985,32,39,4,1.5,253.9142857,Front-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
79,Chrysler,Laser,1985,20,24,4,2.2,423.1904762,Front-Wheel Drive,Regular,Automatic 3-spd,Subcompact Cars
80,Chrysler,Laser,1985,18,22,4,2.2,467.7368421,Front-Wheel Drive,Premium,Automatic 3-spd,Subcompact Cars
81,Chrysler,Laser,1985,21,30,4,2.2,370.2916667,Front-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
82,Chrysler,Laser,1985,17,26,4,2.2,444.35,Front-Wheel Drive,Premium,Manual 5-spd,Subcompact Cars
